"date","insertions","deletions"
"2017-08-16T23:18:11","2","0"
"2017-08-16T23:31:07","8","0"
"2017-08-16T23:45:48","16","2"
"2017-08-17T00:07:13","0","0"
"2017-08-17T09:40:43","28","4"
"2017-08-17T10:02:08","0","0"
"2017-08-17T10:51:45","167","4"
"2017-08-17T11:13:10","0","0"
"2017-08-17T11:49:19","83","2"
"2017-08-17T12:10:44","0","0"
"2017-08-17T13:27:15","67","26"
"2017-08-17T14:09:05","53","12"
"2017-08-17T14:23:52","21","2"
"2017-08-17T14:45:17","0","0"
"2017-08-17T18:37:59","56","20"
"2017-08-17T18:59:24","0","0"
"2017-08-17T19:52:14","35","8"
"2017-08-17T20:13:39","0","0"
"2017-08-18T12:14:45","39","11"
"2017-08-18T12:36:10","0","0"
"2017-08-18T14:14:23","37","26"
"2017-08-18T14:35:48","0","0"
"2017-08-18T15:01:28","59","31"
"2017-08-18T15:22:53","0","0"
"2017-08-19T11:27:45","59","2"
"2017-08-19T11:49:10","0","0"
"2017-08-19T21:32:05","35","4"
"2017-08-19T21:53:30","0","0"
"2017-08-19T22:44:15","128","26"
